index,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,param1,param2,y
16614,38.1,11.5,31.0,0.0,4.0,-31.5,-25.7,-20.0,0.9,4.09,153,3,22.23875468,0.008210717,130.25,49.25,0
6034,59.1,6.9,31.0,0.1,25.1,-33.7,-30.2,-26.8,0.3,15.4,172,3,6.308464299,0.000508036,98.75,70.25,0
20259,40.6,14.1,31.0,1.2,1.7,-17.5,-10.4,-3.4,0.2,1.33,189,3,336.4706269,0.0,95.25,32.25,0
21963,29.0,14.9,3.39,2.8,0.3,6.1,13.5,21.0,9.0,0.35,160,9,74.1555867,143.7037265,28.25,27.75,0
20344,38.8,15.8,31.0,1.1,2.3,-19.2,-11.3,-3.4,0.7,2.16,222,3,413.2787064,0.0,91.75,31.25,0
21141,7.6,16.6,0.0,3.2,0.1,11.0,19.3,27.6,10.5,0.02,162,2,3990.965511,1431.450936,76.75,22.25,0
7080,81.6,8.0,31.0,0.0,17.3,-36.9,-32.9,-28.9,0.3,16.78,149,6,0.0,0.0,149.25,68.25,0
20252,37.8,15.4,31.0,1.0,2.5,-22.3,-14.6,-6.9,0.2,1.9,203,3,191.9092991,0.0,91.75,32.25,0
20526,36.3,14.1,27.76,1.4,1.4,-6.6,0.5,7.6,3.3,1.38,116,4,416.4908927,0.0,94.25,28.75,0
1068,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11,170,2,1531.08631,0.0,19.924128,41.414369,1
14068,55.4,11.2,31.0,0.0,8.2,-32.5,-26.9,-21.3,0.8,8.21,161,4,29.24652022,9.73e-05,100.25,55.25,0
5118,50.2,6.4,31.0,0.0,31.0,-32.0,-28.8,-25.6,0.5,14.37,153,3,5.454275428,0.00074987,101.75,73.75,0
8469,83.3,6.2,31.0,0.1,27.7,-31.6,-28.5,-25.4,0.4,20.03,174,4,7.243095303,0.000146941,90.75,65.75,0
16547,35.4,9.7,31.0,0.1,5.5,-24.9,-20.0,-15.2,1.1,1.46,172,8,45.58385106,0.010874855,69.75,49.25,0
15550,58.7,8.5,31.0,0.2,14.7,-19.6,-15.3,-11.1,1.5,8.55,155,2,292.3773899,0.000759496,56.25,51.75,0
4681,76.3,8.7,31.0,0.0,41.0,-30.5,-26.1,-21.8,0.7,25.91,164,10,0.029549171,0.000100332,48.25,80.25,0
22497,32.3,16.1,31.0,0.8,0.6,-26.2,-18.1,-10.1,0.0,1.1,201,9,20.36102865,0.0,94.75,39.25,0
18020,40.0,8.7,31.0,0.0,5.9,-20.7,-16.3,-12.0,2.1,2.85,172,3,86.11151211,0.0,86.75,44.25,0
12496,76.6,7.0,31.0,0.0,12.3,-36.3,-32.8,-29.3,0.4,8.33,161,4,4.548893295,7.94e-05,129.25,58.75,0
23569,66.6,7.3,23.68,1.2,6.8,-2.6,1.1,4.8,3.2,5.91,159,4,728.6066827,228.7824524,111.75,31.25,0
21193,10.8,17.6,0.0,3.3,0.1,10.8,19.6,28.4,10.3,0.0,162,2,4071.644696,2388.657121,76.25,21.75,0
5992,82.1,7.0,31.0,0.0,32.1,-25.6,-22.1,-18.6,1.1,21.0,151,3,0.004400199,0.001277964,77.25,70.25,0
16639,81.5,5.1,29.18,0.2,32.3,-8.5,-5.9,-3.4,3.6,15.06,155,2,289.4930578,8.69e-05,40.25,48.75,0
13822,62.1,9.4,31.0,0.1,6.3,-27.8,-23.1,-18.4,0.8,8.34,168,11,93.674792,0.002869816,90.25,55.75,0
20488,35.7,17.9,31.0,1.4,0.0,-17.5,-8.5,0.5,0.0,0.0,236,3,1984.687089,0.0,92.25,29.25,0
12056,94.9,5.4,29.93,0.0,72.4,-9.8,-7.1,-4.4,3.6,22.29,149,4,114.1285272,8.75e-05,30.75,59.25,0
5298,55.2,6.3,31.0,0.0,32.7,-33.4,-30.2,-27.1,0.5,16.23,147,3,6.574064424,0.001428852,106.25,72.75,0
4093,41.6,12.6,2.04,3.4,5.0,7.0,13.3,19.6,5.5,2.34,186,9,0.042032611,0.0,42.25,27.25,0
21935,33.2,12.6,0.45,3.0,0.0,8.6,14.9,21.2,9.6,0.0,147,5,0.376319172,4.94e-07,32.75,28.75,0
19187,57.5,13.5,0.0,4.8,86.0,17.6,24.3,31.1,13.2,13.0,183,3,275.5586265,0.0,17.75,-22.25,0
10267,73.2,8.6,31.0,0.0,12.0,-38.6,-34.3,-30.0,0.1,9.37,169,4,7.956123122,0.000196386,102.75,62.75,0
19321,69.5,7.3,16.59,0.8,24.2,0.5,4.1,7.8,5.9,7.11,145,2,3224.555161,2403.626695,47.25,40.75,0
13854,60.9,9.9,31.0,0.1,7.3,-38.1,-33.1,-28.2,0.1,5.0,181,4,11.22072547,7.82e-05,106.25,55.75,0
12282,65.1,6.4,31.0,0.0,11.2,-22.6,-19.4,-16.2,1.3,9.43,175,4,0.2287065,0.001097803,152.75,59.25,0
9497,71.0,8.6,31.0,0.2,11.7,-31.6,-27.3,-23.0,0.3,13.6,153,3,0.008113251,0.000303359,161.25,64.25,0
5060,50.4,6.3,31.0,0.0,28.1,-32.7,-29.5,-26.4,0.5,15.0,147,3,5.844671208,0.005527433,102.25,74.25,0
12897,66.1,7.9,31.0,0.0,10.1,-29.4,-25.4,-21.5,0.9,8.32,152,4,18.54046961,0.000202344,95.25,57.75,0
10555,74.5,7.4,31.0,0.0,13.8,-37.2,-33.5,-29.8,0.1,7.12,165,4,8.370805612,0.000162038,98.75,62.25,0
21249,13.8,15.1,0.0,3.1,0.1,12.6,20.1,27.7,13.7,0.01,162,2,2942.860905,1277.082558,79.75,21.25,0
15690,29.3,11.7,31.0,0.0,3.2,-31.2,-25.3,-19.5,0.9,3.99,164,4,28.44099246,0.001857974,127.75,51.75,0
24491,77.5,7.5,0.0,3.6,7.5,22.5,26.2,30.0,25.6,0.44,151,5,20.29370926,0.0,13.75,-9.25,0
11381,71.9,7.6,31.0,0.0,22.2,-28.7,-24.9,-21.1,0.7,7.4,151,4,10.60799598,0.000109237,89.25,60.75,0
14887,46.3,9.1,31.0,0.1,4.5,-23.2,-18.6,-14.1,1.3,4.02,160,2,149.6224237,0.00434822,62.75,53.25,0
7113,69.8,9.4,31.0,0.1,6.3,-34.3,-29.6,-24.9,0.3,12.62,161,3,0.0,0.000194338,165.75,68.25,0
14346,54.6,11.9,31.0,0.1,3.6,-35.2,-29.2,-23.3,0.3,3.97,187,4,3.759460796,0.000296999,124.75,54.75,0
4190,43.0,11.0,0.0,3.2,23.1,10.0,15.5,21.0,8.3,5.69,175,9,27.83886334,0.0,46.75,25.75,0
17001,29.6,10.0,31.0,0.2,6.8,-23.6,-18.6,-13.6,1.2,4.29,167,8,46.85454467,0.002940075,73.75,47.75,0
969,82.0,6.0,26.09,0.7,71.6,-4.8,-1.8,1.2,3.8,10.45,151,4,1140.51243,0.0,20.175737,42.371931,1
13403,65.7,9.9,31.0,0.1,2.4,-38.9,-33.9,-29.0,0.0,5.98,202,9,9.143297579,0.001672457,113.25,56.75,0
20683,28.9,12.1,1.91,1.7,35.4,7.1,13.1,19.2,12.0,3.4,110,4,0.0,0.0,96.25,26.75,0
5716,70.4,6.3,31.0,0.0,19.9,-37.8,-34.6,-31.5,0.3,11.06,156,4,1.29744049,0.000175286,114.25,71.25,0
11298,78.6,6.9,31.0,0.0,39.2,-17.6,-14.1,-10.7,2.2,22.09,152,4,41.70284455,8.86e-06,47.75,60.75,0
22991,37.2,9.0,29.49,1.3,1.1,-9.0,-4.5,0.0,2.0,1.03,150,2,4221.285524,0.0,119.25,36.75,0
4006,41.8,12.5,12.6,1.9,82.0,2.0,8.2,14.5,6.6,9.51,221,5,298.9825427,1.07e-09,53.25,28.75,0
23957,82.0,3.6,14.19,1.3,39.9,1.4,3.2,5.0,4.7,12.32,154,2,3087.853365,154.4066707,114.75,27.25,0
22091,24.3,16.5,5.03,3.0,1.0,5.2,13.4,21.7,6.9,0.0,160,9,29.72071112,0.098944704,28.25,24.25,0
23841,49.9,7.8,21.27,1.3,22.3,-1.3,2.6,6.5,5.0,8.6,217,3,3898.86728,0.002537911,103.25,28.25,0
18807,31.0,13.4,31.0,0.5,1.0,-18.4,-11.7,-5.0,1.5,0.83,179,9,0.35106677,0.0,93.75,41.25,0
6459,61.4,7.7,31.0,0.0,15.4,-35.1,-31.2,-27.4,0.3,8.98,166,3,5.155617959,0.00017468,105.25,69.25,0
21610,17.8,12.7,0.0,4.2,0.0,17.4,23.7,30.1,16.2,0.0,166,2,3333.501949,1745.383546,77.75,14.25,0
10579,78.0,8.3,31.0,0.0,9.4,-34.7,-30.5,-26.4,0.4,7.77,166,4,2.444289873,0.000175433,110.75,62.25,0
7900,86.2,7.9,31.0,0.0,9.1,-37.4,-33.4,-29.5,0.3,5.66,164,4,1.270881971,0.00019048,113.75,66.75,0
16376,40.1,8.4,31.0,0.1,8.3,-23.0,-18.8,-14.6,1.2,6.54,160,8,72.35047973,0.011469868,65.25,49.75,0
15050,63.8,5.2,31.0,0.3,43.6,-14.8,-12.2,-9.6,2.0,12.29,154,4,1.915729158,0.00297868,157.75,53.25,0
17006,26.2,10.3,31.0,0.2,6.3,-23.4,-18.2,-13.1,1.1,4.78,169,8,53.42353648,0.00779435,76.25,47.75,0
17151,26.7,10.0,31.0,0.2,6.3,-22.6,-17.6,-12.6,1.2,4.96,172,9,53.55285427,0.003230751,76.25,47.25,0
16211,31.9,9.6,31.0,0.2,5.7,-25.2,-20.4,-15.6,0.9,2.98,178,3,132.0304226,0.00288007,74.75,50.25,0
769,72.5,7.5,23.8,0.8,110.7,-2.7,1.1,4.9,4.7,11.5,181,4,342.2293902,0.0,20.31423,40.28203,1
927,63.8,12.6,0.0,4.2,125.0,18.0,24.3,30.6,17.2,15.5,178,3,279.8628121,0.0,18.47,-19.94,1
7449,86.6,8.4,31.0,0.0,51.3,-17.6,-13.4,-9.2,2.2,15.64,153,4,0.295771043,2.26e-05,32.25,67.25,0
5881,71.5,6.2,31.0,0.0,19.0,-36.7,-33.6,-30.5,0.4,10.29,155,3,0.972083913,0.000192478,113.75,70.75,0
21595,13.3,13.3,0.0,4.2,0.1,17.0,23.6,30.3,15.9,0.0,173,2,3836.311305,2136.187497,75.75,14.75,0
12792,81.5,5.8,31.0,0.1,45.0,-14.1,-11.2,-8.3,2.4,17.12,155,4,38.07032245,2.24e-05,42.75,57.75,0
13388,63.5,9.8,31.0,0.0,8.7,-36.4,-31.5,-26.6,0.4,6.26,182,4,83.58572821,0.001435814,105.75,56.75,0
15691,32.7,12.2,31.0,0.0,3.2,-31.8,-25.7,-19.6,0.8,3.74,158,4,23.06088333,0.000970942,128.25,51.75,0
20046,54.1,15.1,31.0,0.7,2.6,-27.5,-19.9,-12.4,0.0,0.73,228,3,38.61683465,0.0,80.75,34.25,0
10663,74.7,8.2,31.0,0.0,24.5,-36.9,-32.8,-28.7,0.4,19.45,180,5,0.023644265,0.000462929,152.75,62.25,0
11656,72.4,7.8,31.0,0.0,21.2,-29.6,-25.7,-21.8,0.6,8.81,166,4,6.380746267,2.95e-05,90.75,60.25,0
12018,51.1,6.5,31.0,0.1,14.1,-31.1,-27.8,-24.6,0.3,6.36,168,4,0.032141979,0.000242168,140.75,59.75,0
20618,40.0,15.0,3.06,2.4,1.4,6.3,13.8,21.3,7.0,0.19,174,2,4681.252687,7747.54264,75.75,27.25,0
1471,72.5,8.0,30.96,0.6,45.6,-13.2,-9.2,-5.2,1.8,10.4,205,4,563.8443125,0.000931338,45.5596,42.7902,1
24307,66.1,6.1,1.01,1.9,15.9,7.9,10.9,14.0,8.5,5.94,145,11,657.546606,311.6666716,113.25,22.75,0
23433,58.5,8.8,26.09,1.5,4.2,-4.8,-0.4,4.0,2.5,2.66,147,2,7084.557411,0.000583521,115.75,32.75,0
1837,80.4,6.6,25.78,0.7,28.2,-4.5,-1.2,2.1,4.1,8.19,135,4,562.0941322,0.883214041,22.13487,42.25545,1
1596,40.7,12.1,0.59,3.2,10.0,8.4,14.4,20.5,7.0,3.5,180,9,51.51655359,0.0,45.36379,25.91118,1
19410,47.2,11.0,4.84,1.5,44.5,5.3,10.8,16.3,8.9,10.04,156,6,477.3646234,0.878665072,43.25,34.75,0
23302,45.5,8.9,27.67,1.4,0.4,-6.5,-2.0,2.5,2.5,0.55,147,2,367.0467003,116.0960535,119.25,34.25,0
13345,54.5,7.5,31.0,0.0,8.5,-26.0,-22.2,-18.5,1.1,10.34,151,4,39.02465131,0.000217687,84.25,56.75,0
17892,26.9,11.3,31.0,0.3,1.0,-28.9,-23.2,-17.6,0.4,0.83,179,3,133.1161498,0.0,112.25,44.75,0
14580,43.3,10.7,31.0,0.0,5.5,-33.7,-28.3,-23.0,0.7,3.32,166,4,7.176005291,0.000687024,130.75,54.25,0
671,71.9,8.4,8.31,1.1,112.3,3.7,7.9,12.1,7.5,10.82,155,2,2595.57264,0.0,19.839184,40.796731,1
14159,89.3,4.9,29.11,0.1,53.9,-8.4,-5.9,-3.5,3.7,20.73,154,4,175.3739988,1.06e-05,31.25,54.75,0
21686,38.0,10.3,0.0,4.1,6.7,19.5,24.6,29.8,21.7,0.66,154,11,2048.692899,9.587800874,76.75,10.25,0
6895,81.0,7.8,31.0,0.0,25.8,-21.8,-17.9,-14.0,1.4,13.78,147,3,0.047164288,0.020740301,54.25,68.25,0
11561,88.0,6.7,31.0,0.0,45.9,-16.6,-13.2,-9.9,2.3,19.2,154,4,27.18550594,1e-05,43.25,60.25,0
21616,15.0,12.3,0.0,4.3,0.3,17.6,23.7,29.9,18.4,0.0,174,5,3069.967325,2500.947286,75.25,13.75,0
10635,55.4,7.4,31.0,0.0,2.9,-44.0,-40.3,-36.6,0.3,2.11,193,3,2.22156884,0.000744838,138.75,62.25,0
11104,74.4,7.7,31.0,0.1,21.7,-28.3,-24.4,-20.6,0.7,13.2,156,4,7.336753787,2.37e-05,87.75,61.25,0
3715,76.9,6.0,26.87,0.8,52.7,-5.6,-2.6,0.4,3.4,9.06,184,4,645.6373083,0.0,19.25,43.25,0
15992,37.3,8.4,31.0,0.1,7.5,-23.6,-19.4,-15.2,1.2,5.76,157,8,87.14389741,0.003685822,65.25,50.75,0
16935,80.0,5.5,28.55,0.2,32.2,-7.6,-4.8,-2.1,4.0,14.09,157,2,377.9615359,0.000227197,40.75,47.75,0
14692,45.3,8.8,31.0,0.1,5.6,-27.1,-22.7,-18.3,0.9,2.78,153,2,177.6910675,0.003029141,76.75,53.75,0
8174,72.1,6.8,31.0,0.1,17.0,-36.2,-32.8,-29.4,0.1,14.25,177,4,7.56963465,0.00029335,96.25,66.25,0
