index,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,param1,param2,y
16055,34.0,11.6,31.0,0.1,10.5,-41.0,-35.2,-29.4,0.0,7.48,179,4,29.52356726,0.000105706,97.25,50.75,0
8298,78.7,8.6,31.0,0.1,13.9,-34.8,-30.5,-26.2,0.2,15.82,164,3,0.633488324,0.000218933,158.25,66.25,0
17096,74.6,7.3,29.83,0.4,15.4,-9.6,-5.9,-2.3,3.4,7.64,143,8,74.49322265,2.135652766,48.75,47.25,0
9587,73.3,7.4,31.0,0.0,37.5,-21.1,-17.4,-13.7,1.4,17.15,158,4,1.055693515,0.000581383,57.75,63.75,0
7615,63.5,5.7,31.0,0.0,17.1,-36.8,-33.9,-31.1,0.3,9.53,151,4,1.911910988,0.000190558,122.75,67.25,0
5396,56.4,6.6,31.0,0.0,28.7,-31.5,-28.2,-24.9,0.5,15.93,153,3,6.835874692,0.000796074,98.25,72.25,0
24281,74.0,6.4,4.64,1.6,21.8,5.4,8.6,11.8,7.1,6.85,149,4,840.7846739,1498.491086,111.75,23.25,0
19224,47.8,14.3,0.0,5.5,56.0,19.1,26.2,33.4,17.2,9.3,180,3,127.592606,0.0,19.75,-23.75,0
1786,79.9,6.0,26.29,0.4,14.6,-5.0,-2.0,1.0,4.8,9.03,143,3,837.3508219,6.61241813,46.86478,45.427111,1
11192,73.9,6.3,31.0,0.0,6.9,-41.6,-38.4,-35.3,0.2,4.02,158,4,11.63750698,0.000304967,131.75,61.25,0
6592,68.7,9.1,31.0,0.0,19.7,-30.9,-26.3,-21.8,0.9,13.86,166,3,0.0,0.000381496,174.25,69.25,0
20693,22.6,16.3,1.42,3.0,0.0,7.5,15.6,23.8,6.8,0.0,161,2,3223.413373,3328.596992,73.75,26.25,0
11512,71.3,8.0,31.0,0.1,16.7,-31.1,-27.1,-23.1,0.5,14.22,156,3,0.097871715,0.001441152,154.75,60.75,0
5839,68.9,7.2,31.0,0.1,21.9,-31.4,-27.8,-24.2,0.5,21.14,151,3,8.117489657,0.00096165,92.75,70.75,0
10549,74.9,7.4,31.0,0.0,18.2,-36.0,-32.3,-28.6,0.0,11.28,171,3,8.338130519,0.000233183,95.75,62.25,0
24065,37.2,13.4,9.28,2.2,22.2,3.3,10.0,16.7,6.6,9.75,187,3,1404.576509,1075.191897,101.75,25.75,0
13833,63.2,9.5,31.0,0.0,6.8,-29.9,-25.1,-20.4,0.9,9.07,152,4,53.72500302,0.000709106,95.75,55.75,0
2959,88.6,3.8,0.52,1.5,16.7,8.5,10.4,12.3,8.9,8.3,175,4,2526.91928,1364.646622,106.7446,22.8109,1
4319,45.6,12.2,0.0,4.2,8.6,12.5,18.6,24.7,7.7,2.77,178,9,5.26e-14,0.0,40.75,23.25,0
2417,68.6,8.0,26.87,0.7,64.3,-5.6,-1.6,2.4,4.1,11.46,188,2,1676.766326,14.88254424,35.52636,38.051717,1
9438,67.4,6.9,31.0,0.0,2.5,-47.8,-44.3,-40.9,0.2,3.18,187,4,1.865433929,0.000573831,131.75,64.25,0
16040,41.9,13.4,31.0,0.2,9.3,-41.7,-35.0,-28.3,0.0,5.18,189,4,0.0,0.0,89.25,50.75,0
10005,61.2,7.2,31.0,0.0,15.6,-35.1,-31.5,-27.9,0.4,6.0,162,4,2.875472107,8.85e-05,119.25,63.25,0
9995,79.7,8.0,31.0,0.1,11.3,-35.3,-31.3,-27.3,0.2,8.21,166,4,2.79523162,0.000150786,114.25,63.25,0
9332,92.5,7.0,31.0,0.0,22.5,-25.5,-22.0,-18.5,1.1,18.69,147,4,0.001924157,0.000729419,78.75,64.25,0
9154,56.4,7.1,31.0,0.0,1.2,-49.2,-45.6,-42.1,0.2,1.62,171,3,1.732264382,0.000430026,135.25,64.75,0
18828,26.8,12.7,31.0,0.2,0.6,-21.3,-14.9,-8.6,1.8,0.91,181,9,12.75585452,0.0,104.25,41.25,0
5584,63.8,6.0,31.0,0.0,17.8,-40.8,-37.8,-34.8,0.3,13.24,147,3,1.191992616,0.00145928,121.75,71.75,0
15742,77.8,6.0,30.82,0.2,48.8,-12.3,-9.3,-6.3,2.8,11.74,157,2,249.2826187,0.000180705,43.75,51.25,0
2655,44.0,11.7,5.85,1.6,27.7,4.8,10.6,16.5,9.6,6.08,147,2,3647.662707,984.1735262,44.19396,33.19845,1
10375,76.5,8.9,31.0,0.0,17.7,-35.1,-30.6,-26.2,0.4,17.65,170,4,0.015145443,0.000567914,156.75,62.75,0
22611,38.7,11.0,31.0,0.7,0.8,-18.6,-13.1,-7.6,0.0,1.1,201,3,141.162252,0.0,105.75,38.75,0
1919,80.8,6.4,25.99,0.9,33.9,-4.7,-1.5,1.7,3.6,7.47,189,4,86.1292802,1.02e-07,23.677222,41.64,1
3020,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03,145,2,985.6151948,9.00495026,118.32716,24.462198,1
11125,73.1,7.6,31.0,0.0,13.7,-36.0,-32.2,-28.4,0.3,6.66,171,4,9.594120481,0.000136207,98.25,61.25,0
22452,16.4,7.8,31.0,0.7,0.5,-15.0,-11.1,-7.2,1.4,0.69,153,4,2510.929699,0.0,122.25,39.75,0
1501,83.9,6.2,26.19,0.7,28.7,-4.9,-1.8,1.3,4.1,8.41,198,4,156.8329071,0.0,22.27448,42.908316,1
18461,24.2,10.7,31.0,0.6,1.0,-23.6,-18.2,-12.9,0.3,1.72,183,3,96.53683215,0.0,112.75,42.75,0
2909,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0,35.386941,32.83736,1
10488,70.5,7.0,31.0,0.0,20.4,-22.8,-19.3,-15.8,1.2,8.48,155,4,1.536405002,9.11e-05,65.25,62.25,0
4689,76.3,8.3,31.0,0.1,43.3,-31.3,-27.1,-23.0,0.6,23.06,147,10,0.034860514,9.27e-05,57.75,80.25,0
18846,22.8,11.0,31.0,0.7,0.3,-21.6,-16.1,-10.6,0.0,0.7,182,3,927.8944342,0.0,113.25,41.25,0
12950,74.4,8.8,31.0,0.0,8.9,-34.0,-29.6,-25.2,0.4,8.51,142,4,3.917274823,0.000383252,121.75,57.75,0
3653,41.3,11.8,9.52,1.7,17.3,3.2,9.1,15.0,8.0,7.62,167,9,32.45512571,5.66e-12,41.25,33.25,0
20879,27.5,14.0,0.04,2.2,4.4,9.6,16.6,23.6,13.7,0.48,157,2,5704.942991,1090.82091,86.25,24.75,0
23387,56.0,8.8,26.39,1.4,1.3,-5.1,-0.7,3.7,2.5,1.24,149,2,10486.40349,0.0,115.75,33.25,0
14883,41.6,9.0,31.0,0.1,6.0,-22.9,-18.4,-13.9,1.3,3.66,164,2,240.1362485,0.00069765,60.75,53.25,0
21789,69.2,7.1,25.25,0.6,38.2,-4.0,-0.4,3.2,4.5,9.95,150,11,0.0,0.0,21.75,40.75,0
24780,70.0,11.5,0.0,3.5,173.0,18.1,23.8,29.6,23.8,16.5,183,3,95.41238693,0.0,21.25,-16.25,0
3345,68.2,8.4,14.19,0.9,85.1,1.4,5.6,9.8,7.0,11.28,158,4,182.526333,0.0,27.75,39.25,0
1966,80.8,6.4,25.99,0.9,33.9,-4.7,-1.5,1.7,3.6,7.47,189,4,86.1292802,1.02e-07,23.975833,41.619444,1
4638,70.0,8.9,31.0,0.5,21.3,-25.6,-21.1,-16.7,0.5,16.4,152,10,0.018087521,4.98e-05,58.25,81.75,0
14921,56.7,8.7,31.0,0.1,10.3,-26.2,-21.8,-17.5,0.9,7.43,152,2,253.4234284,0.000664748,79.75,53.25,0
18765,73.6,7.4,18.98,0.7,28.0,-0.4,3.3,7.0,5.6,7.46,174,4,1300.529659,53.37924833,45.75,41.25,0
9064,83.1,6.3,31.0,0.0,26.7,-31.3,-28.1,-25.0,0.5,15.97,161,4,7.928645174,0.000197571,90.25,64.75,0
24300,79.4,4.6,2.75,1.5,14.6,6.5,8.8,11.1,8.2,7.01,169,4,4794.609261,2524.293723,109.75,22.75,0
6401,85.3,7.0,31.0,0.0,27.5,-25.8,-22.3,-18.8,1.2,20.22,146,3,0.005655498,0.0039781,76.25,69.25,0
5957,80.8,8.4,31.0,0.1,20.9,-37.2,-33.0,-28.8,0.2,17.23,145,3,2.432071035,0.135930151,151.75,70.75,0
23936,58.6,6.5,22.97,1.4,27.9,-2.0,1.3,4.6,3.4,12.33,192,4,2694.83066,40.86488977,104.25,27.25,0
17724,41.7,13.1,31.0,0.5,10.3,-27.5,-20.9,-14.4,0.0,3.48,206,4,291.4285832,0.010939832,79.75,45.25,0
5256,71.4,7.3,31.0,0.0,42.2,-27.8,-24.1,-20.5,0.9,21.69,150,3,6.113911825,0.001505999,85.25,72.75,0
24211,86.9,4.1,5.85,1.4,25.0,4.8,6.8,8.9,6.3,9.33,149,11,972.8330605,2288.267014,109.75,24.25,0
12718,82.0,7.8,31.0,0.0,11.0,-31.7,-27.8,-23.9,0.6,9.76,178,4,0.0,0.0,122.25,58.25,0
15688,30.5,12.2,31.0,0.0,2.1,-31.6,-25.5,-19.4,0.8,2.68,162,4,25.647405,0.002101085,126.75,51.75,0
9830,90.0,6.8,31.0,0.0,56.9,-14.5,-11.1,-7.7,2.6,20.58,160,4,1.33030112,0.0,31.75,63.25,0
14092,46.1,11.6,31.0,0.1,1.3,-39.0,-33.2,-27.4,0.0,1.47,117,2,34.15667551,0.000226241,112.25,55.25,0
19806,44.8,15.1,14.99,1.8,14.9,1.1,8.6,16.2,6.7,4.98,166,9,36.27059749,0.0,57.25,31.25,0
21360,13.4,15.1,0.0,3.5,0.4,14.3,21.8,29.4,12.7,0.04,167,2,3740.129755,658.2655751,77.75,19.75,0
14936,56.7,10.2,31.0,0.0,6.6,-29.4,-24.3,-19.2,0.9,7.12,163,4,203.4593669,0.000720683,87.25,53.25,0
119,71.0,6.5,31.0,0.1,43.2,-14.4,-11.1,-7.9,2.4,17.23,153,2,188.1844683,0.001018926,48.598902,52.848873,1
13244,88.7,5.4,30.49,0.0,65.1,-11.1,-8.4,-5.7,3.2,20.56,161,4,52.51232757,1.22e-05,33.75,56.75,0
22206,31.8,12.2,31.0,0.4,0.7,-18.7,-12.6,-6.5,1.9,0.25,182,8,0.051600545,0.0,96.25,40.75,0
20613,26.1,17.0,4.09,2.6,0.0,5.7,14.2,22.7,6.4,0.0,164,2,1194.54383,875.3310049,73.25,27.25,0
23848,85.0,2.7,14.45,0.9,24.4,1.3,2.6,4.0,5.7,17.44,172,4,2966.97631,555.1128893,106.75,28.25,0
18222,35.6,11.5,31.0,0.3,0.5,-25.8,-20.0,-14.3,0.8,0.59,164,4,983.1556949,0.0,128.75,43.75,0
21845,43.1,9.4,0.0,2.2,7.9,10.4,15.1,19.8,12.1,3.72,145,2,11672.85229,3492.239529,31.75,31.25,0
21303,37.0,11.8,0.0,2.9,0.2,15.2,21.1,27.0,18.1,0.02,147,2,16962.5436,446.9122519,86.75,20.75,0
18700,25.6,13.0,31.0,0.1,0.5,-23.0,-16.5,-10.0,2.1,0.34,180,0,6.706234059,0.0,101.75,41.75,0
3354,73.7,7.5,23.56,0.7,38.3,-2.5,1.3,5.1,5.1,10.34,177,3,364.5427898,0.0,32.25,39.25,0
7644,52.7,6.8,31.0,0.0,4.1,-46.5,-43.1,-39.7,0.1,3.33,169,4,1.628487906,0.000108857,137.25,67.25,0
3375,63.2,8.0,28.91,0.5,32.9,-8.1,-4.1,-0.1,3.6,8.81,157,3,1089.995468,2.4671346,42.75,39.25,0
1414,77.1,6.9,22.97,0.6,27.7,-2.0,1.5,5.0,5.3,7.69,134,2,602.4128165,0.0,22.808182,41.475766,1
9160,55.1,7.4,31.0,0.0,1.8,-48.5,-44.8,-41.1,0.2,1.86,169,3,1.481463013,0.000414827,138.25,64.75,0
12426,72.4,7.8,31.0,0.0,14.8,-31.3,-27.4,-23.5,0.5,8.03,173,4,14.77374725,2.65e-05,94.25,58.75,0
7257,79.8,6.5,31.0,0.1,26.4,-32.1,-28.8,-25.6,0.3,21.1,138,3,8.768833863,8.99e-05,91.75,67.75,0
16015,37.8,9.7,31.0,0.1,5.3,-25.8,-20.9,-16.1,1.0,6.15,161,3,121.6073337,0.003726553,76.75,50.75,0
8530,60.7,6.4,31.0,0.0,16.3,-36.2,-33.0,-29.8,0.3,7.04,160,6,2.079092824,0.000193702,121.25,65.75,0
19454,52.6,11.2,21.77,1.2,63.7,-1.5,4.1,9.7,5.6,10.23,154,2,285.7429752,5.18e-09,47.25,33.25,0
22753,36.6,14.2,31.0,0.9,0.0,-21.5,-14.4,-7.3,0.0,0.0,216,8,14.10918226,0.0,91.25,37.75,0
20366,54.5,11.8,30.68,1.5,11.5,-11.7,-5.8,0.1,0.0,0.99,153,10,0.0,0.0,79.25,30.75,0
8230,64.8,5.7,31.0,0.0,17.5,-37.0,-34.1,-31.3,0.4,6.32,150,4,2.007534276,0.000348261,124.25,66.25,0
2202,72.4,6.6,15.52,0.8,39.8,0.9,4.2,7.5,6.2,7.64,109,4,396.8667169,4.012473857,23.6764,40.7175,1
